coID:1 baseID:2306546729047198226
coID:2 baseID:2306546729047198240
coID:3 baseID:2306546729047307008
coID:4 baseID:2306546729047311637
coID:5 baseID:2306546729047311651
coID:6 baseID:2306546729047394304
coID:7 baseID:2306546729048928789
coID:8 baseID:2306546730555124254
coID:9 baseID:2306546730555124271
coID:10 baseID:2306546730555559424
coID:11 baseID:2306546730555559936
coID:12 baseID:2306546730555779370
coID:13 baseID:2306547832431925760
coID:14 baseID:2306547832450067456
coID:15 baseID:2306548931946765342
coID:16 baseID:2307531891445433344
coID:17 baseID:2307531891445677312
coID:18 baseID:2307531891445945089
coID:19 baseID:2307531891446255362
coID:20 baseID:2307531893984694272
coID:21 baseID:2308305951087238656
coID:22 baseID:2308305951087419648
coID:23 baseID:2308305951087483904
coID:24 baseID:2308305951087487744
coID:25 baseID:2308305951087489280
coID:26 baseID:2308305951087490816
coID:27 baseID:2308305951087492096
coID:28 baseID:2308305951087493376
coID:29 baseID:2308305951087494656
coID:30 baseID:2308305951087497216
coID:31 baseID:2308305951087498240
coID:32 baseID:2308305951087499008
coID:33 baseID:2308305951087500288
coID:34 baseID:2308305951087501312
coID:35 baseID:2308305951087503360
coID:36 baseID:2308305951087504640
coID:37 baseID:2308305951087734529
coID:38 baseID:2308305951087734530
coID:39 baseID:2308305951087740673
coID:40 baseID:2308305951087740674
coID:41 baseID:2308305951087765761
coID:42 baseID:2308305951087765762
coID:43 baseID:2308305951087977728
coID:44 baseID:2308305951087977729
coID:45 baseID:2308305951087977730
coID:46 baseID:2308305951087977731
coID:47 baseID:2308305951087977732
coID:48 baseID:2308305951087977733
coID:49 baseID:2308305951087977734
coID:50 baseID:2308305951087977735
coID:51 baseID:2308305951087977736
coID:52 baseID:2308305951087977737
coID:53 baseID:2308305951087977739
coID:54 baseID:2308305951087977740
coID:55 baseID:2308305951087977741
coID:56 baseID:2308305951087977742
coID:57 baseID:2308305951087985921
coID:58 baseID:2308305951087985922
coID:59 baseID:2308305951087990785
coID:60 baseID:2308305951087990786
coID:61 baseID:2308305951088075521
coID:62 baseID:2308305951088075523
coID:63 baseID:2308308150528489984
coID:64 baseID:2308308150528489985
coID:65 baseID:2308308150528503552
coID:66 baseID:2308308150528503553
coID:67 baseID:2308308150528533504
coID:68 baseID:2308308150528533505
coID:69 baseID:2308308150528544512
coID:70 baseID:2308308150528544513
coID:71 baseID:2308308150528560384
coID:72 baseID:2308308150528560385
coID:73 baseID:2308308150529179136
coID:74 baseID:2308308150529180160
coID:75 baseID:2308308150529343232
coID:76 baseID:2308308150530279936
coID:77 baseID:2308308150573310464
coID:78 baseID:2308308150573310468
coID:79 baseID:2308308150573310471
coID:80 baseID:2309220743319773734
coID:81 baseID:2309220743319773751
coID:82 baseID:2309220743319909662
coID:83 baseID:2309220743851035136
coID:84 baseID:2309220743851036416
coID:85 baseID:2309220743851043858
coID:86 baseID:2309220743851068417
coID:87 baseID:2309220743851068425
coID:88 baseID:2309220743851068682
coID:89 baseID:2309220743851068693
coID:90 baseID:2309220743851078926
coID:91 baseID:2309220743851087119
coID:92 baseID:2309220743851089947
coID:93 baseID:2309220743851095320
coID:94 baseID:2309220743851095334
coID:95 baseID:2309220743851153940
coID:96 baseID:2309220743851153941
coID:97 baseID:2309220743851153942
coID:98 baseID:2309220743851153943
coID:99 baseID:2309220743851153944
coID:100 baseID:2309220743851153945
coID:101 baseID:2309220743851153946
coID:102 baseID:2309220743851153947
coID:103 baseID:2309220743851153948
coID:104 baseID:2309220743851153949
coID:105 baseID:2309220743851153950
coID:106 baseID:2309220743851153952
coID:107 baseID:2309220743851153953
coID:108 baseID:2309220743851153954
coID:109 baseID:2309220743851153955
coID:110 baseID:2309220744093864448
coID:111 baseID:2309220744096516132
coID:112 baseID:2309220744096535052
coID:113 baseID:2309220744096535072
coID:114 baseID:2309220744096558110
coID:115 baseID:2309220744096558130
coID:116 baseID:2309220744096573952
coID:117 baseID:2309220744096579858
coID:118 baseID:2309220744096594468
coID:119 baseID:2309220744096608286
coID:120 baseID:2309220744096608303
coID:121 baseID:2309220744096700672
coID:122 baseID:2309220745039944192
coID:123 baseID:2309220745043585024
coID:124 baseID:2309220745043587072
coID:125 baseID:2309220745043590657
coID:126 baseID:2309220745043590916
coID:127 baseID:2309220745043590924
coID:128 baseID:2309220745043593985
coID:129 baseID:2309220745043593998
coID:130 baseID:2309220745043594241
coID:131 baseID:2309220745043608064
coID:132 baseID:2309220745043620614
coID:133 baseID:2309220745043634176
coID:134 baseID:2309220745043636737
coID:135 baseID:2309220745043636757
coID:136 baseID:2309220745043640576
coID:137 baseID:2309220745043708929
coID:138 baseID:2309220745043708937
coID:139 baseID:2309220745043708945
coID:140 baseID:2309220745043708962
coID:141 baseID:2309220745043708970
coID:142 baseID:2309220745043708981
coID:143 baseID:2309220745043769368
coID:144 baseID:2309220745043775762
coID:145 baseID:2309220745043775776
coID:146 baseID:2309220745043782144
coID:147 baseID:2309220745043822878
coID:148 baseID:2309220745043841301
coID:149 baseID:2309220745043841318
coID:150 baseID:2309220745043867934
coID:151 baseID:2309220745044143872
coID:152 baseID:2309220745044143873
coID:153 baseID:2309220745044143874
coID:154 baseID:2309220745044143875
coID:155 baseID:2309220745044143876
coID:156 baseID:2309220745044143877
coID:157 baseID:2309220745044143878
coID:158 baseID:2309220745044143880
coID:159 baseID:2309220745044145156
coID:160 baseID:2309220745044145158
coID:161 baseID:2309220745044145159
coID:162 baseID:2309220745044145160
coID:163 baseID:2309220745044145162
coID:164 baseID:2309220745044145163
coID:165 baseID:2309220745044146434
coID:166 baseID:2309220745044146437
coID:167 baseID:2309220745044146457
coID:168 baseID:2309220745044146459
coID:169 baseID:2309220745044149504
coID:170 baseID:2309220745044149505
coID:171 baseID:2309220745044149506
coID:172 baseID:2309220745044149508
coID:173 baseID:2309220745044149509
coID:174 baseID:2309220745044149511
coID:175 baseID:2309220745044152065
coID:176 baseID:2309220745044152066
coID:177 baseID:2309220745044152067
coID:178 baseID:2309220745044152069
coID:179 baseID:2309220745044152070
coID:180 baseID:2309220745044152072
coID:181 baseID:2309220745044152074
coID:182 baseID:2309220745044152075
coID:183 baseID:2309220745044152076
coID:184 baseID:2309220745044152078
coID:185 baseID:2309220745044152084
coID:186 baseID:2309220745044152086
coID:187 baseID:2309220745044152087
coID:188 baseID:2309220745044174083
coID:189 baseID:2309220745044174094
coID:190 baseID:2309220745044276995
coID:191 baseID:2309220745044276997
coID:192 baseID:2309220745044276999
coID:193 baseID:2309220745044277000
coID:194 baseID:2309221844556422144
coID:195 baseID:2309572588937920001
coID:196 baseID:2309572588937920012
coID:197 baseID:2309572588937920026
coID:198 baseID:2309572588937920040
coID:199 baseID:2309572588938010113
coID:200 baseID:2309572588938010132
coID:201 baseID:2309572588938010140
coID:202 baseID:2309572588938263558
coID:203 baseID:2309572588941420288
coID:204 baseID:2309572588941420289
coID:205 baseID:2309572588941420290
coID:206 baseID:2309572588941420291
coID:207 baseID:2309572588941420292
coID:208 baseID:2309572588941420293
coID:209 baseID:2309572588941420294
coID:210 baseID:2309572588941420295
coID:211 baseID:2309572588941420296
coID:212 baseID:2309572588941420297
coID:213 baseID:2309572588941420298
coID:214 baseID:2309572588941420299
coID:215 baseID:2309572588941420300
coID:216 baseID:2309572588941420301
coID:217 baseID:2309572588941420302
coID:218 baseID:2309572588941420303
coID:219 baseID:2309572588941692928
coID:220 baseID:2309572588941692930
coID:221 baseID:2309572588941692931
coID:222 baseID:2309572588941693185
coID:223 baseID:2309572588941693187
coID:224 baseID:2309572588941693188
coID:225 baseID:2309572588941693189
coID:226 baseID:2309572588941693191
coID:227 baseID:2309572588941693192
coID:228 baseID:2309572588942057731
coID:229 baseID:2309572588942251521
coID:230 baseID:2309572588942251529
coID:231 baseID:2309572588942251540
coID:232 baseID:2309572588942251545
coID:233 baseID:2309572588942253828
coID:234 baseID:2309572588942253829
coID:235 baseID:2309572588942253830
coID:236 baseID:2309572588942253831
coID:237 baseID:2309572588942253832
coID:238 baseID:2309572588942253833
coID:239 baseID:2309572588942253834
coID:240 baseID:2309572588942253835
coID:241 baseID:2309572588945070593
coID:242 baseID:2309572588945070604
coID:243 baseID:2309572588945076992
coID:244 baseID:2309572588945076993
coID:245 baseID:2309572588945076998
coID:246 baseID:2309572588945076999
coID:247 baseID:2309572588945625345
coID:248 baseID:2309572588945625370
coID:249 baseID:2309572588945625381
coID:250 baseID:2309572588945632768
coID:251 baseID:2309572588945632770
coID:252 baseID:2309572588945632771
coID:253 baseID:2309572588945632772
coID:254 baseID:2309572588945632774
coID:255 baseID:2309572588945632775
coID:256 baseID:2309572588945632776
coID:257 baseID:2309572588945632778
coID:258 baseID:2309572588945632779
coID:259 baseID:2309573686421648649
coID:260 baseID:2309573686421648663
coID:261 baseID:2309573686436745984
coID:262 baseID:2309573686436789248
coID:263 baseID:2309573688008993798
coID:264 baseID:2309573688008995334
coID:265 baseID:2309573688011172611
coID:266 baseID:2309573688011173890
coID:267 baseID:2309573688011684096
coID:268 baseID:2310979961441535235
coID:269 baseID:2310979963445481984
coID:270 baseID:2310979963446015488
coID:271 baseID:2310979963446202112
coID:272 baseID:2310979963446203904
coID:273 baseID:2310979963446978560
